10000,4,1600,50,40,0,0;
10001,4,1800,60,44,0,0;
10002,5,2460,70,49,0,0;
10003,5,2760,80,54,0,0;
10004,5,3180,90,60,0,0;
10005,5,4130,100,66,0,0;
10006,5,4620,110,73,0,0;
10007,5,5250,120,81,0,0;
10008,5,6640,130,89,0,0;
10009,5,7440,140,98,0,0;
10010,5,9450,150,109,0,0;
10011,5,10260,160,120,0,0;
10012,5,11430,170,133,0,0;
10013,5,12690,180,147,0,0;
10014,5,15600,190,162,0,0;
10015,5,17600,200,179,0,0;
10016,5,18600,210,198,0,0;
10017,5,19700,220,219,0,0;
10018,5,21200,230,242,0,0;
10019,5,22400,240,268,0,0;
10020,5,23900,250,296,0,0;
10021,5,25600,260,327,0,0;
10022,5,27200,270,362,0,0;
10023,5,28900,280,400,0,0;
10024,5,31100,290,442,0,0;
10025,5,32900,300,488,0,0;
10026,5,35100,310,539,0,0;
10027,5,37400,320,596,0,0;
10028,5,39800,330,659,0,0;
10029,5,42700,340,728,0,0;
10030,5,45100,350,805,0,0;
10031,5,48100,360,890,0,0;
10032,5,51200,370,983,0,0;
10033,5,54800,380,1087,0,0;
10034,5,58000,390,1201,0,0;
10035,5,61700,400,1328,0,0;
10036,5,65500,410,1467,0,0;
10037,5,69900,420,1622,0,0;
10038,5,74400,430,1792,0,0;
10039,5,79000,440,1981,0,0;
10040,5,84200,450,2189,0,0;
10041,5,89500,460,2420,0,0;
10042,5,94900,470,2675,0,0;
10043,5,101000,480,2956,0,0;
10044,5,107200,490,3267,0,0;
10045,5,114000,500,3611,0,0;
10046,5,121000,500,3991,0,0;
10047,5,128600,500,4411,0,0;
10048,5,136400,500,4875,0,0;
10049,5,144900,500,5388,0,0;
